date,day_he,time_et,ticker,sec_type,qty,exit_price,multiplier,proceeds_usd,net_pnl_usd,premium_paid_usd,entry_price,pct_of_premium,commission_usd
2026-08-24,שני,00:02,CL,FUT,2,85.61,1000,171220.0,-449.44,171669.44,85.8347,-0.0026,4.72
2026-08-24,שני,00:03,NQ,FOP,6,5.5,20,660.0,0.0,660.0,5.5,0.0,8.46
2026-08-24,שני,01:36,NQ,FOP,1,31.75,20,635.0,37.18,597.82,29.891,0.0622,1.41
2026-08-24,שני,04:20,NQ,FOP,8,8.5,20,1360.0,-902.56,2262.56,14.141,-0.3989,11.28
2026-08-24,שני,07:40,NQ,FOP,5,27,20,2700.0,-289.1,2989.1,29.891,-0.0967,7.05
2026-08-24,שני,09:33,MU,OPT,7,5.15,100,3605.0,3250.16,354.84,0.5069,9.1595,1.97
2026-08-24,שני,09:35,MRNA,OPT,11,0.3,100,330.0,-830.77,1160.77,1.0552,-0.7157,3.2
2026-08-24,שני,09:40,MU,OPT,3,7,100,2100.0,1947.91,152.09,0.507,12.8076,0.86
2026-08-24,שני,09:48,NVDA,OPT,55,0.47,100,2585.0,339.23,2245.77,0.4083,0.1511,28.94
2026-08-24,שני,09:52,MU,OPT,5,10,100,5000.0,4746.49,253.51,0.507,18.7231,1.46
2026-08-24,שני,10:12,GC,FOP,5,2.7,100,1350.0,-1275.1,2625.1,5.2502,-0.4857,12.55
2026-08-24,שני,10:14,ANET,OPT,46,0.12,100,552.0,-1409.28,1961.28,0.4264,-0.7186,22.02
2026-08-24,שני,10:14,ANET,OPT,5,0.11,100,55.0,-156.73,211.73,0.4235,-0.7402,0.94
2026-08-24,שני,10:21,MU,OPT,15,8.1,100,12150.0,11385.42,764.58,0.5097,14.8911,8.42
2026-08-24,שני,10:21,QQQ,OPT,80,0.14,100,1120.0,-928.47,2048.47,0.2561,-0.4533,51.66
2026-08-24,שני,10:30,MU,OPT,1,1.6,100,160.0,-86.04,246.04,2.4604,-0.3497,0.77
2026-08-24,שני,10:32,MU,OPT,2,1.03,100,206.0,-285.08,491.08,2.4554,-0.5805,0.55
2026-08-24,שני,10:32,MU,OPT,7,1.05,100,735.0,-983.84,1718.84,2.4555,-0.5724,1.97
2026-08-24,שני,10:32,MU,OPT,10,1.08,100,1080.0,-1375.6,2455.6,2.4556,-0.5602,2.93
2026-08-24,שני,11:04,AAOI,OPT,25,0.65,100,1625.0,-481.53,2106.53,0.8426,-0.2286,-2.45
2026-08-24,שני,11:13,MU,OPT,25,0.49,100,1225.0,-662.05,1887.05,0.7548,-0.3508,6.79
2026-08-24,שני,11:29,MU,OPT,20,0.33,100,660.0,-1151.05,1811.05,0.9055,-0.6356,5.43
2026-08-24,שני,12:40,CRM,OPT,70,0.16,100,1120.0,-947.68,2067.68,0.2954,-0.4583,18.96
2026-08-24,שני,12:46,MU,OPT,18,0.68,100,1224.0,-793.97,2017.97,1.1211,-0.3934,4.9
2026-08-24,שני,13:08,CL,FOP,20,0.09,1000,1800.0,-1964.4,3764.4,0.1882,-0.5218,47.2
2026-08-24,שני,13:13,MU,OPT,18,0.67,100,1206.0,-495.71,1701.71,0.9454,-0.2913,4.9
2026-08-24,שני,13:14,AMZN,OPT,50,0.42,100,2100.0,87.32,2012.68,0.4025,0.0434,8.49
2026-08-24,שני,14:13,MU,OPT,33,0.36,100,1188.0,-488.37,1676.37,0.508,-0.2913,14.06
2026-08-24,שני,14:36,MU,OPT,1,0.5,100,50.0,-21.7,71.7,0.717,-0.3026,0.79
2026-08-24,שני,14:37,MU,OPT,1,0.39,100,39.0,-32.26,71.26,0.7126,-0.4527,0.35
2026-08-24,שני,14:37,MU,OPT,28,0.4,100,1120.0,-873.69,1993.69,0.712,-0.4382,8.17
2026-08-24,שני,15:19,CRM,OPT,2,0.12,100,24.0,-4.91,28.91,0.1446,-0.1698,0.54
2026-08-25,שלישי,09:55,MSTR,OPT,45,0.19,100,855.0,-977.62,1832.62,0.4072,-0.5335,20.59
2026-08-25,שלישי,09:58,QQQ,OPT,60,0.14,100,840.0,-1192.9,2032.9,0.3388,-0.5868,28.4
2026-08-25,שלישי,10:03,AMZN,OPT,50,0.14,100,700.0,-1227.69,1927.69,0.3855,-0.6369,6.57
2026-08-25,שלישי,10:03,CRM,OPT,10,0.53,100,530.0,-435.39,965.39,0.9654,-0.451,2.72
2026-08-25,שלישי,11:05,SMCI,OPT,40,0.36,100,1440.0,-693.07,2133.07,0.5333,-0.3249,2.37
